scenario,policy,checkpoint,or_index,n_trajectories,mean_return,std_return
asymmetric_advantages_h400_baseline,ppo_200k,200000,48004.9238127986,30,-400.0,0.0
asymmetric_advantages_h400_baseline,ppo_50k,50000,35329.624326680096,30,-400.0,0.0
asymmetric_advantages_h400_baseline,ppo_5k,5000,44410.69235402637,30,-400.0,0.0
asymmetric_advantages_h400_baseline,random,0,19258.494909306744,30,-400.0,0.0
coordination_ring_h400_stress_spatial,ppo_200k,200000,39228.92369743501,30,-400.0,0.0
coordination_ring_h400_stress_spatial,ppo_50k,50000,48442.48045061454,30,-400.0,0.0
coordination_ring_h400_stress_spatial,ppo_5k,5000,51503.52107164979,30,-400.0,0.0
coordination_ring_h400_stress_spatial,random,0,9642.52926299864,30,-400.0,0.0
cramped_room_h400_baseline,ppo_200k,200000,62563.55354778328,30,-400.0,0.0
cramped_room_h400_baseline,ppo_50k,50000,33965.00533893797,30,-400.0,0.0
cramped_room_h400_baseline,ppo_5k,5000,38418.19158540596,30,-400.0,0.0
cramped_room_h400_baseline,random,0,26273.67388703791,30,-400.0,0.0
cramped_room_h400_multiagent_sim,ppo_200k,200000,29623.07005793201,30,-400.0,0.0
cramped_room_h400_multiagent_sim,ppo_50k,50000,41927.17652435082,30,-400.0,0.0
cramped_room_h400_multiagent_sim,ppo_5k,5000,65732.715473421,30,-400.0,0.0
cramped_room_h400_multiagent_sim,random,0,16326.89638763308,30,-400.0,0.0
cramped_room_h800_stress_temporal,ppo_200k,200000,105004.6444727012,30,-800.0,0.0
cramped_room_h800_stress_temporal,ppo_50k,50000,77327.50424871207,30,-800.0,0.0
cramped_room_h800_stress_temporal,ppo_5k,5000,93884.41849462112,30,-800.0,0.0
cramped_room_h800_stress_temporal,random,0,48102.3272634455,30,-800.0,0.0
forced_coordination_h400_stress_sequential,ppo_200k,200000,43558.339209248814,30,-400.0,0.0
forced_coordination_h400_stress_sequential,ppo_50k,50000,32549.06011429048,30,-400.0,0.0
forced_coordination_h400_stress_sequential,ppo_5k,5000,40380.85138479953,30,-400.0,0.0
forced_coordination_h400_stress_sequential,random,0,12331.42186604967,30,-400.0,0.0
